name,context,price,utterance_template,state_template,question_prefix,question_affect,response_prefix,task_2,is_price_space,price_type,price_rounded,closest_price_space,item
Daniel,Daniel bought a new electric kettle,47,It cost $47.,It cost $47.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that Daniel thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Matt,Matt bought a new electric kettle,48,It cost $48.,It cost $47.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Steve,Steve bought a new electric kettle,48,It cost $48.,It cost $48.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that Steve thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Frank,Frank bought a new electric kettle,49,It cost $49.,It cost $47.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that Frank thinks that the electric kettle is expensive.,True,sharp,50,51,electric kettle
Zach,Zach bought a new electric kettle,49,It cost $49.,It cost $48.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that Zach thinks that the electric kettle is expensive.,True,sharp,50,51,electric kettle
Harry,Harry bought a new electric kettle,49,It cost $49.,It cost $49.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that Harry thinks that the electric kettle is expensive.,True,sharp,50,51,electric kettle
Barry,Barry bought a new electric kettle,50,It cost $50.,It cost $47.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Alex,Alex bought a new electric kettle,50,It cost $50.,It cost $48.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that Alex thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Gary,Gary bought a new electric kettle,50,It cost $50.,It cost $49.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that Gary thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Tom,Tom bought a new electric kettle,50,It cost $50.,It cost $50.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that Tom thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Jake,Jake bought a new electric kettle,50,It cost $50.,It cost $50.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that Jake thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Daniel,Daniel bought a new electric kettle,50,It cost $50.,It cost $47.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that Daniel thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Charles,Charles bought a new electric kettle,50,It cost $50.,It cost $48.,"A friend asked him, ",Was it expensive?,"Charles said, ", Please provide the probability that Charles thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Barry,Barry bought a new electric kettle,50,It cost $50.,It cost $49.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that Barry thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Eric,Eric bought a new electric kettle,50,It cost $50.,It cost $50.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that Eric thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Matt,Matt bought a new electric kettle,50,It cost $50.,It cost $50.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that Matt thinks that the electric kettle is expensive.,True,round,50,50,electric kettle
Eric,Eric bought a new electric kettle,51,It cost $51.,It cost $47.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that Eric thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Kenneth,Kenneth bought a new electric kettle,51,It cost $51.,It cost $48.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that Kenneth thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
Owen,Owen bought a new electric kettle,51,It cost $51.,It cost $49.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that Owen thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle
