name,context,price,utterance_template,question_prefix,question_affect,response_prefix,task_1a,task_1b,is_price_space,price_type,price_rounded,closest_price_space,item,parsed_response,model,run,temperature,parsed_response_clean
Daniel,Daniel bought a new electric kettle,47,It cost $47.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that the Daniel thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,50,51,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Frank,Frank bought a new electric kettle,48,It cost $48.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that the Frank thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,50,51,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Harry,Harry bought a new electric kettle,49,It cost $49.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that the Harry thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,sharp,50,51,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Zach,Zach bought a new electric kettle,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that the Zach thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,50,50,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Ethan,Ethan bought a new electric kettle,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,50,50,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Jake,Jake bought a new electric kettle,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that the Jake thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,50,51,electric kettle,0.7,gemini-1.5-pro,iter4,1.0,0.7
Calvin,Calvin bought a new electric kettle,52,It cost $52.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,50,51,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Quinn,Quinn bought a new electric kettle,53,It cost $53.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that the Quinn thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,50,51,electric kettle,0.5,gemini-1.5-pro,iter4,1.0,0.5
Owen,Owen bought a new electric kettle,497,It cost $497.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that the Owen thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,500,501,electric kettle,1,gemini-1.5-pro,iter4,1.0,1
Bob,Bob bought a new electric kettle,498,It cost $498.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that the Bob thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,500,501,electric kettle,0.9,gemini-1.5-pro,iter4,1.0,0.9
Luke,Luke bought a new electric kettle,499,It cost $499.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that the Luke thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,sharp,500,501,electric kettle,0.9,gemini-1.5-pro,iter4,1.0,0.9
Jake,Jake bought a new electric kettle,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that the Jake thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,500,500,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Matt,Matt bought a new electric kettle,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that the Matt thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,500,501,electric kettle,0.95,gemini-1.5-pro,iter4,1.0,0.95
Steve,Steve bought a new electric kettle,502,It cost $502.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that the Steve thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,500,501,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Daniel,Daniel bought a new electric kettle,503,It cost $503.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that the Daniel thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,500,501,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Alex,Alex bought a new electric kettle,997,It cost $997.,"A friend asked him, ",Was it expensive?,"Alex said, ", Please provide the probability that the Alex thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,1000,1001,electric kettle,0.95,gemini-1.5-pro,iter4,1.0,0.95
Fred,Fred bought a new electric kettle,998,It cost $998.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that the Fred thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,1000,1001,electric kettle,0.95,gemini-1.5-pro,iter4,1.0,0.95
Charles,Charles bought a new electric kettle,999,It cost $999.,"A friend asked him, ",Was it expensive?,"Charles said, ", Please provide the probability that the Charles thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,sharp,1000,1001,electric kettle,0.99,gemini-1.5-pro,iter4,1.0,0.99
Nathan,Nathan bought a new electric kettle,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,1000,1000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
George,George bought a new electric kettle,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that the George thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,1000,1000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Daniel,Daniel bought a new electric kettle,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Daniel said, ", Please provide the probability that the Daniel thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,1000,1001,electric kettle,0.9,gemini-1.5-pro,iter4,1.0,0.9
Calvin,Calvin bought a new electric kettle,1002,It cost $1002.,"A friend asked him, ",Was it expensive?,"Calvin said, ", Please provide the probability that the Calvin thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,1000,1001,electric kettle,0.9,gemini-1.5-pro,iter4,1.0,0.9
Tom,Tom bought a new electric kettle,1003,It cost $1003.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that the Tom thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,1000,1001,electric kettle,0.99,gemini-1.5-pro,iter4,1.0,0.99
Jake,Jake bought a new electric kettle,4997,It cost $4997.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that the Jake thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Zach,Zach bought a new electric kettle,4998,It cost $4998.,"A friend asked him, ",Was it expensive?,"Zach said, ", Please provide the probability that the Zach thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Tom,Tom bought a new electric kettle,4999,It cost $4999.,"A friend asked him, ",Was it expensive?,"Tom said, ", Please provide the probability that the Tom thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Harry,Harry bought a new electric kettle,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Harry said, ", Please provide the probability that the Harry thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,5000,5000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Winston,Winston bought a new electric kettle,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that the Winston thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,5000,5000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Eric,Eric bought a new electric kettle,5001,It cost $5001.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Quinn,Quinn bought a new electric kettle,5002,It cost $5002.,"A friend asked him, ",Was it expensive?,"Quinn said, ", Please provide the probability that the Quinn thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Bob,Bob bought a new electric kettle,5003,It cost $5003.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that the Bob thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,5000,5001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Victor,Victor bought a new electric kettle,9997,It cost $9997.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that the Victor thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Nathan,Nathan bought a new electric kettle,9998,It cost $9998.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Eric,Eric bought a new electric kettle,9999,It cost $9999.,"A friend asked him, ",Was it expensive?,"Eric said, ", Please provide the probability that the Eric thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Nathan,Nathan bought a new electric kettle,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,10000,10000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Nathan,Nathan bought a new electric kettle,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Nathan said, ", Please provide the probability that the Nathan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,True,round,10000,10000,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Ethan,Ethan bought a new electric kettle,10001,It cost $10001.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that the Ethan thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
Kenneth,Kenneth bought a new electric kettle,10002,It cost $10002.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that the Kenneth thinks that the electric kettle is expensive., Please provide the probability that the electric kettle costs $,False,sharp,10000,10001,electric kettle,1.0,gemini-1.5-pro,iter4,1.0,1.0
